,TEAM,PG,SG,SF,PF,C
0,Atlanta,T. Young,K. Huerter,D. Hunter,J. Collins,C. Capela
1,Boston,K. Walker,J. Brown,J. Tatum,G. Hayward,D. Theis
2,Brooklyn,K. Irving,J. Harris,C. LeVert,T. Prince,J. Allen
3,Charlotte,D. Graham,T. Rozier,M. Bridges,P. Washington,C. Zeller
4,Chicago,T. Satoransky,Z. LaVine,K. Dunn,L. Markkanen,L. Kornet
5,Cleveland,D. Garland,C. Sexton,C. Osman,K. Love,A. Drummond
6,Dallas,L. Doncic,S. Curry,T. Hardaway Jr.,D. Finney-Smith,K. Porzingis
7,Denver,J. Murray,G. Harris,W. Barton,P. Millsap,N. Jokic
8,Detroit,D. Rose,S. Mykhailiuk,T. Snell,S. Doumbouya,C. Wood
9,Golden State,K. Bowman,D. Lee,A. Wiggins,D. Green,M. Chriss
10,Houston,R. Westbrook,J. Harden,E. Gordon,R. Covington,P. Tucker
11,Indiana,M. Brogdon,V. Oladipo,T. Warren,D. Sabonis,M. Turner
12,LA Clippers,P. Beverley,P. George,K. Leonard,M. Morris Sr.,I. Zubac
13,LA Lakers,L. James,A. Bradley,D. Green,A. Davis,J. McGee
14,Memphis,J. Morant,D. Brooks,K. Anderson,J. Jackson Jr.,J. Valanciunas
15,Miami,K. Nunn,J. Butler,D. Robinson,J. Crowder,B. Adebayo
16,Milwaukee,E. Bledsoe,W. Matthews,K. Middleton,G. Antetokounmpo,B. Lopez
17,Minnesota,D. Russell,M. Beasley,J. Culver,J. Hernangomez,K. Towns
18,New Orleans,L. Ball,J. Holiday,B. Ingram,Z. Williamson,D. Favors
19,New York,E. Payton,R. Barrett,K. Knox II,J. Randle,T. Gibson
20,Oklahoma City,C. Paul,S. Gilgeous-Alexander,T. Ferguson,D. Gallinari,S. Adams
21,Orlando,M. Fultz,E. Fournier,A. Gordon,K. Birch,N. Vucevic
22,Philadelphia,B. Simmons,J. Richardson,T. Harris,A. Horford,J. Embiid
23,Phoenix,R. Rubio,D. Booker,M. Bridges,K. Oubre Jr.,D. Ayton
24,Portland,D. Lillard,C. McCollum,T. Ariza,C. Anthony,H. Whiteside
25,Sacramento,D. Fox,B. Bogdanovic,H. Barnes,M. Bagley III,R. Holmes
26,San Antonio,D. Murray,B. Forbes,D. DeRozan,T. Lyles,L. Aldridge
27,Toronto,K. Lowry,F. VanVleet,O. Anunoby,P. Siakam,M. Gasol
28,Utah,M. Conley,D. Mitchell,J. Ingles,B. Bogdanovic,R. Gobert
29,Washington,I. Smith,G. Payton II,B. Beal,R. Hachimura,I. Mahinmi
